DAY,chlorella,spirulina,chocolate100,c8,vitaminc,glutamin,vitamind,omega3,greentea,phosphatidylserine (g),mela. (+Mg. PassFlor),reishi,mag.,magBisglyc.
5/20/2020,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.1,NO,NO,NO,0.2
5/21/2020,NO,NO,NO,YES,NO,NO,NO,NO,NO,0.1,NO,NO,NO,0.3
5/22/2020,NO,YES,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,1.4
5/23/2020,NO,NO,NO,YES,NO,NO,NO,NO,NO,0.1,NO,NO,NO,1
5/24/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,NO,NO,0
5/25/2020,YES,NO,NO,NO,NO,YES,NO,NO,NO,0,NO,NO,NO,2
5/26/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0,NO,NO,NO,0
5/27/2020,YES,YES,YES,NO,YES,NO,YES,YES,YES,0,NO,NO,NO,0
5/28/2020,YES,NO,NO,NO,NO,NO,NO,NO,NO,0,NO,NO,NO,0.4
5/29/2020,YES,YES,YES,NO,NO,YES,YES,YES,YES,0.1,NO,NO,NO,0.2
5/30/2020,YES,YES,YES,NO,YES,YES,YES,YES,YES,0.1,YES,NO,NO,0.4
5/31/2020,YES,YES,YES,NO,NO,NO,YES,YES,YES,0.1,NO,NO,NO,0.4
